sample_id	PC1	PC2
TCGA-D8-A1X9-01	-0.268948	-0.129432
TCGA-D8-A1XA-01	-0.170348	-0.222623
TCGA-D8-A1XB-01	-0.174833	0.060477
TCGA-D8-A1XC-01	-0.143394	-0.146000
TCGA-D8-A1XD-01	-0.109376	-0.122257
TCGA-D8-A1XF-01	-0.166987	-0.333709
TCGA-D8-A1XG-01	0.014683	0.001171
TCGA-D8-A1XJ-01	-0.109367	-0.081306
TCGA-D8-A1XK-01	0.403270	-0.142170
TCGA-D8-A1XL-01	-0.026614	-0.002992
TCGA-D8-A1XM-01	-0.055556	0.188664
TCGA-D8-A1XO-01	-0.082389	0.035979
TCGA-D8-A1XQ-01	0.343195	-0.214339
TCGA-D8-A1XR-01	-0.075003	-0.126864
TCGA-D8-A1XS-01	-0.125026	-0.000588
TCGA-D8-A1XT-01	0.156613	-0.173145
TCGA-D8-A1XU-01	-0.196601	-0.024273
TCGA-D8-A1XV-01	-0.156269	-0.191805
TCGA-D8-A1XW-01	0.396390	-0.078283
TCGA-D8-A1XY-01	-0.028536	-0.058538
TCGA-D8-A1XZ-01	-0.010619	-0.277860
TCGA-D8-A1Y0-01	-0.083529	-0.065677
TCGA-D8-A1Y1-01	-0.121047	-0.224036
TCGA-D8-A1Y2-01	0.008140	0.139334
TCGA-D8-A1Y3-01	-0.044467	-0.320625
TCGA-D8-A27E-01	-0.008709	0.030416
TCGA-D8-A27F-01	0.393768	-0.023431
TCGA-D8-A27G-01	-0.215564	0.038673
TCGA-D8-A27H-01	0.260487	-0.005713
TCGA-D8-A27I-01	-0.068343	0.314304
TCGA-D8-A27K-01	-0.088125	0.201234
TCGA-D8-A27L-01	-0.099562	0.252904
TCGA-D8-A27M-01	0.355880	0.044545
TCGA-D8-A27N-01	-0.104313	0.020360
TCGA-D8-A27P-01	-0.060522	0.231900
TCGA-D8-A27R-01	-0.009190	-0.024876
TCGA-D8-A27T-01	-0.214118	0.090791
TCGA-D8-A27V-01	-0.131269	0.033181
TCGA-D8-A27W-01	-0.179317	-0.046645
TCGA-D8-A3Z5-01	-0.093254	0.205845
TCGA-D8-A3Z6-01	-0.213876	0.037356
TCGA-D8-A4Z1-01	-0.016428	0.368579
TCGA-D8-A73U-01	-0.014617	0.221202
TCGA-D8-A73W-01	-0.108258	0.057961
TCGA-D8-A73X-01	-0.218851	0.172428
TCGA-E2-A14N-01	0.449272	-0.047440
TCGA-E2-A14U-01	0.086697	0.313511
TCGA-E2-A15I-01	-0.062101	0.064188
TCGA-E2-A15J-01	-0.146798	-0.175243
TCGA-E2-A15K-01	-0.042831	-0.172843
TCGA-E2-A1AZ-01	0.392561	-0.028246
TCGA-E2-A1B0-01	0.197221	-0.078095
TCGA-E2-A1B1-01	0.123300	0.289118
TCGA-E2-A1B4-01	-0.165597	0.055757
TCGA-E2-A1B5-01	0.097007	0.047312
TCGA-E2-A1B6-01	0.448705	0.026945
TCGA-E2-A1BC-01	-0.084851	0.071605
TCGA-E2-A1BD-01	-0.189847	0.007925
TCGA-E2-A1IE-01	-0.215916	-0.169833
TCGA-E2-A1IF-01	0.121313	0.146601
TCGA-E2-A1IG-01	-0.161491	-0.145778
TCGA-E2-A1IH-01	-0.046912	0.064462
TCGA-E2-A1II-01	0.362312	-0.136395
TCGA-E2-A1IJ-01	-0.032337	0.161170
TCGA-E2-A1IK-01	0.067930	0.142198
TCGA-E2-A1IL-01	-0.095010	0.066242
TCGA-E2-A1IN-01	-0.122969	-0.027721
TCGA-E2-A1IO-01	0.005511	0.044915
TCGA-E2-A1IU-01	-0.137421	0.101949
TCGA-E2-A1L6-01	-0.041957	0.129093
TCGA-E2-A1L7-01	0.014434	-0.217889
TCGA-E2-A1L8-01	-0.067247	-0.072630
TCGA-E2-A1L9-01	0.009935	-0.078006
TCGA-E2-A1LA-01	-0.054614	-0.036726
TCGA-E2-A1LB-01	-0.006651	-0.131599
TCGA-E2-A1LE-01	-0.021184	0.029064
TCGA-E2-A1LG-01	0.304803	-0.115754
TCGA-E2-A1LH-01	0.411578	0.030533
TCGA-E2-A1LI-01	0.464441	-0.157520
TCGA-E2-A1LK-01	0.317884	-0.308577
TCGA-E2-A1LL-01	0.213173	-0.102801
TCGA-E2-A1LS-01	0.319533	-0.122646
TCGA-E2-A2P5-01	-0.188686	0.019673
TCGA-E2-A2P6-01	-0.262590	0.001007
TCGA-E2-A3DX-01	0.017120	0.378916
TCGA-E2-A56Z-01	-0.257015	-0.095034
TCGA-E2-A570-01	-0.125202	0.127966
TCGA-E2-A572-01	-0.189479	0.083772
TCGA-E2-A573-01	0.471548	-0.059059
TCGA-E2-A574-01	0.355203	-0.167248
TCGA-E2-A576-01	-0.270962	-0.061492
TCGA-E2-A9RU-01	-0.150403	-0.152194
TCGA-E9-A1N3-01	-0.064884	-0.101241
TCGA-E9-A1N4-01	-0.084126	0.142056
TCGA-E9-A1N5-01	-0.158796	0.030910
TCGA-E9-A1N6-01	0.032847	-0.189362
TCGA-E9-A1N8-01	0.386312	-0.123966
TCGA-E9-A1N9-01	0.093514	-0.103636
TCGA-E9-A1NA-01	-0.120265	-0.212123
TCGA-E9-A1ND-01	0.350183	-0.117999
TCGA-E9-A1NE-01	0.130039	0.055272
TCGA-E9-A1NF-01	-0.071952	-0.104403
TCGA-E9-A1NG-01	0.062825	-0.019095
TCGA-E9-A1NH-01	-0.054517	-0.041711
TCGA-E9-A1NI-01	-0.163609	-0.264579
TCGA-E9-A1QZ-01	0.075659	0.170485
TCGA-E9-A1R0-01	-0.164618	0.153504
TCGA-E9-A1R2-01	-0.040252	-0.064307
TCGA-E9-A1R3-01	-0.035363	0.128746
TCGA-E9-A1R4-01	-0.002848	-0.142752
TCGA-E9-A1R5-01	-0.145439	-0.153206
TCGA-E9-A1R6-01	-0.261262	-0.270121
TCGA-E9-A1R7-01	-0.133640	-0.163749
TCGA-E9-A1RA-01	0.067734	-0.014304
TCGA-E9-A1RB-01	0.007195	0.013705
TCGA-E9-A1RC-01	-0.128858	-0.235028
TCGA-E9-A1RD-01	-0.219444	0.101902
TCGA-E9-A1RE-01	-0.174522	-0.307608
TCGA-E9-A1RF-01	-0.053658	-0.223943
TCGA-E9-A1RG-01	0.018793	-0.208280
TCGA-E9-A1RH-01	0.138736	-0.198613
TCGA-E9-A1RI-01	-0.080434	0.049433
TCGA-E9-A226-01	-0.109332	0.054940
TCGA-E9-A227-01	0.009931	0.081298
TCGA-E9-A228-01	-0.135621	-0.299490
TCGA-E9-A229-01	-0.047619	-0.014163
TCGA-E9-A22A-01	-0.047217	0.082524
TCGA-E9-A22B-01	-0.106267	-0.114295
TCGA-E9-A22D-01	-0.062220	-0.191483
TCGA-E9-A22E-01	0.039378	-0.081727
TCGA-E9-A22G-01	0.424166	-0.228319
TCGA-E9-A22H-01	-0.123639	-0.189307
TCGA-E9-A243-01	0.395718	-0.019083
TCGA-E9-A244-01	0.391474	-0.104918
TCGA-E9-A245-01	-0.096224	0.079437
TCGA-E9-A247-01	-0.144714	-0.189548
TCGA-E9-A248-01	0.301281	-0.055519
TCGA-E9-A249-01	-0.062584	-0.088474
TCGA-E9-A24A-01	0.039753	-0.071592
TCGA-E9-A295-01	-0.207368	0.065780
TCGA-E9-A2JS-01	-0.177667	-0.155433
TCGA-E9-A2JT-01	0.099550	0.266129
